태양광발전시설명,소재지도로명주소,소재지지번주소,위도,경도,설치상세위치구분명,가동상태구분명,설비용량,공급전압,주파수,설치연도,세부용도,허가일자,허가기관,설치면적,데이터기준일자,제공기관코드,제공기관명
우리파워 3호,,"강원특별자치도 화천군 화천읍 아리 50번지 , 51-1, 51-2, 52, 52-2, 산 12",,,,폐기,499.5,380,60,2018,,2018-10-19,강원특별자치도 화천군청,,2026-05-06,4311000,강원특별자치도 화천군
스카이태양광 딸기,,"강원특별자치도 화천군 상서면 부촌리 326번지 3호 , 1094-1, 1094-3",,,,폐기,850,22900,60,2018,,2018-10-19,강원특별자치도 화천군청,,2026-05-06,4311000,강원특별자치도 화천군
세종발전2호,,"강원특별자치도 화천군 상서면 봉오리 192번지 1호 , 192-2, 192-4, 192-6",,,,폐기,602.25,22900,60,2018,,2018-10-19,강원특별자치도 화천군청,,2026-05-06,4311000,강원특별자치도 화천군
상도발전1호,,강원특별자치도 화천군 상서면 봉오리 192번지 2호,,,,정상가동,99.9,380,60,2018,,2018-10-19,강원특별자치도 화천군청,,2026-05-06,4311000,강원특별자치도 화천군
상도발전2호,,강원특별자치도 화천군 상서면 봉오리 192번지 2호,,,,폐기,99.9,380,60,2018,,2018-10-19,강원특별자치도 화천군청,,2026-05-06,4311000,강원특별자치도 화천군
골드 태양광발전소,,강원특별자치도 화천군 화천읍 신읍리 1073번지 13호,,,,정상가동,99.28,380,60,2018,,2018-10-19,강원특별자치도 화천군청,,2026-05-06,4311000,강원특별자치도 화천군
나래 태양광발전소,,강원특별자치도 화천군 화천읍 신읍리 1073번지 13호,,,,정상가동,99.28,380,60,2018,,2018-10-19,강원특별자치도 화천군청,,2026-05-06,4311000,강원특별자치도 화천군
하담 태양광발전소,,강원특별자치도 화천군 화천읍 신읍리 1073번지 13호,,,,정상가동,99.28,380,60,2018,,2018-10-19,강원특별자치도 화천군청,,2026-05-06,4311000,강원특별자치도 화천군
정 태양광발전소,,강원특별자치도 화천군 화천읍 신읍리 478,,,,정상가동,74.46,380,60,2018,,2018-10-19,강원특별자치도 화천군청,,2026-05-06,4311000,강원특별자치도 화천군
수동 2호 태양광 발전소,경기도 남양주시 수동면 입석1길 13-19,경기도 남양주시 수동면 입석리 200-6,37.70573892,127.3357431,,정상가동,24,380,60,2012,,2012-04-05,경기도 남양주시청,,2026-05-07,3990000,경기도 남양주시
