episode,sample_mean,Expected SARSA,Risk-aware Q-learning
1,365.2,370.7,359.7
2,346.2,372.7,319.7
3,364.2,368.7,359.7
4,406.7,445.7,367.7
5,345.2,339.7,350.7
6,373.7,377.7,369.7
7,372.7,366.7,378.7
8,364.7,369.7,359.7
9,359.2,359.7,358.7
10,396.7,409.7,383.7
11,363.2,367.7,358.7
12,373.2,359.7,386.7
13,359.7,359.7,359.7
14,386.2,407.7,364.7
15,349.2,329.7,368.7
16,359.2,359.7,358.7
17,364.2,369.7,358.7
18,409.7,358.7,460.7
19,392.2,413.7,370.7
20,364.2,358.7,369.7
21,359.7,358.7,360.7
22,368.2,376.7,359.7
23,375.2,369.7,380.7
24,379.7,389.7,369.7
25,359.7,359.7,359.7
26,359.7,360.7,358.7
27,364.2,370.7,357.7
28,359.2,359.7,358.7
29,363.2,365.7,360.7
30,359.2,358.7,359.7
31,359.2,358.7,359.7
32,364.2,367.7,360.7
33,375.7,389.7,361.7
34,384.2,389.7,378.7
35,379.7,388.7,370.7
36,369.2,369.7,368.7
37,368.7,357.7,379.7
38,359.7,357.7,361.7
39,371.2,359.7,382.7
40,344.7,369.7,319.7
41,349.2,358.7,339.7
42,365.7,361.7,369.7
43,403.7,360.7,446.7
44,384.7,379.7,389.7
45,360.7,359.7,361.7
46,374.2,379.7,368.7
47,363.2,358.7,367.7
48,384.2,389.7,378.7
49,369.7,359.7,379.7
50,374.7,359.7,389.7
51,364.7,369.7,359.7
52,358.7,358.7,358.7
53,371.7,375.7,367.7
54,364.2,359.7,368.7
55,373.7,388.7,358.7
56,369.7,379.7,359.7
57,365.2,359.7,370.7
58,359.2,359.7,358.7
59,342.2,324.7,359.7
60,359.2,359.7,358.7
61,374.2,379.7,368.7
62,359.2,358.7,359.7
63,388.2,416.7,359.7
64,369.7,378.7,360.7
65,365.2,361.7,368.7
66,364.2,368.7,359.7
67,390.2,369.7,410.7
68,376.7,356.7,396.7
69,384.2,386.7,381.7
70,390.2,370.7,409.7
71,359.2,358.7,359.7
72,383.2,364.7,401.7
73,380.2,390.7,369.7
74,374.2,359.7,388.7
75,344.7,360.7,328.7
76,377.2,359.7,394.7
77,358.2,389.7,326.7
78,359.2,368.7,349.7
79,325.7,321.7,329.7
80,349.2,358.7,339.7
81,374.2,378.7,369.7
82,359.7,359.7,359.7
83,369.2,368.7,369.7
84,374.2,389.7,358.7
85,359.2,358.7,359.7
86,363.2,358.7,367.7
87,373.2,357.7,388.7
88,378.7,388.7,368.7
89,369.7,368.7,370.7
90,359.7,359.7,359.7
91,374.2,389.7,358.7
92,359.2,360.7,357.7
93,373.7,368.7,378.7
94,372.7,378.7,366.7
95,386.7,392.7,380.7
96,360.7,359.7,361.7
97,348.2,376.7,319.7
98,374.2,389.7,358.7
99,399.2,369.7,428.7
100,369.2,358.7,379.7
101,365.2,360.7,369.7
102,365.2,360.7,369.7
103,362.7,361.7,363.7
104,364.7,358.7,370.7
105,370.7,380.7,360.7
106,346.2,370.7,321.7
107,371.2,366.7,375.7
108,359.7,361.7,357.7
109,351.2,375.7,326.7
110,386.7,388.7,384.7
111,372.2,380.7,363.7
112,369.2,358.7,379.7
113,379.7,360.7,398.7
114,344.7,369.7,319.7
115,369.7,380.7,358.7
116,364.2,358.7,369.7
117,379.2,359.7,398.7
118,368.2,367.7,368.7
119,369.2,378.7,359.7
120,360.2,359.7,360.7
121,369.2,369.7,368.7
122,344.7,320.7,368.7
123,366.2,373.7,358.7
124,369.2,367.7,370.7
125,363.2,359.7,366.7
126,359.2,329.7,388.7
127,378.2,396.7,359.7
128,353.7,388.7,318.7
129,360.2,360.7,359.7
130,364.2,360.7,367.7
131,379.2,370.7,387.7
132,381.2,379.7,382.7
133,419.2,464.7,373.7
134,364.7,359.7,369.7
135,379.2,358.7,399.7
136,380.2,399.7,360.7
137,373.7,387.7,359.7
138,369.7,359.7,379.7
139,369.7,378.7,360.7
140,378.7,387.7,369.7
141,373.7,388.7,358.7
142,376.7,393.7,359.7
143,375.7,388.7,362.7
144,363.7,360.7,366.7
145,355.2,367.7,342.7
146,360.2,359.7,360.7
147,370.2,369.7,370.7
148,373.2,377.7,368.7
149,355.2,359.7,350.7
150,339.2,318.7,359.7
151,350.2,370.7,329.7
152,369.2,359.7,378.7
153,366.7,358.7,374.7
154,374.2,368.7,379.7
155,399.2,439.7,358.7
156,363.7,367.7,359.7
157,359.7,359.7,359.7
